word,timing,time_running,word_len,ends_in_period,ends_in_comma
In,0.11,0.11,2,False,False
the,0.29,0.39999999999999997,3,False,False
bustling,0.2999999999999999,0.6999999999999998,8,False,False
heart,0.3,0.9999999999999998,5,False,False
of,0.33,1.3299999999999998,2,False,False
the,0.16,1.4899999999999998,3,False,False
"city,",0.71,2.1999999999999997,5,False,True
nestled,0.4199999999999999,2.6199999999999997,7,False,False
between,0.3,2.9199999999999995,7,False,False
towering,0.3,3.2199999999999993,8,False,False
skyscrapers,0.19,3.4099999999999993,11,False,False
and,0.2299999999999999,3.6399999999999992,3,False,False
quaint,0.3,3.939999999999999,6,False,False
cobblestone,0.5,4.4399999999999995,11,False,False
"streets,",0.38419394669003626,4.824193946690036,8,False,True
lay,0.28,5.104193946690036,3,False,False
a,0.21,5.314193946690036,1,False,False
small,0.12,5.434193946690036,5,False,False
yet,0.27,5.704193946690037,3,False,False
renowned,0.5700000000000001,6.274193946690037,8,False,False
culinary,0.3999999999999999,6.674193946690037,8,False,False
school,0.28,6.9541939466900375,6,False,False
where,0.16,7.114193946690038,5,False,False
the,0.57,7.684193946690038,3,False,False
art,0.1299999999999999,7.814193946690038,3,False,False
of,0.2699999999999999,8.084193946690037,2,False,False
food,0.4599999999999999,8.544193946690037,4,False,False
preparation,0.43,8.974193946690036,11,False,False
was,0.27,9.244193946690036,3,False,False
revered,0.26,9.504193946690036,7,False,False
above,0.26,9.764193946690035,5,False,False
all,0.2299999999999999,9.994193946690036,3,False,False
else.,0.4457737536728142,10.43996770036285,5,True,False
"Here,",0.43,10.86996770036285,5,False,True
aspiring,0.5200000000000001,11.389967700362849,8,False,False
chefs,0.44,11.829967700362849,5,False,False
honed,0.2399999999999999,12.069967700362849,5,False,False
their,0.1199999999999999,12.189967700362848,5,False,False
"skills,",0.36680325421588766,12.556770954578736,7,False,True
meticulously,0.32,12.876770954578737,12,False,False
crafting,0.2199999999999999,13.096770954578737,8,False,False
dishes,0.21,13.306770954578738,6,False,False
that,0.31,13.616770954578739,4,False,False
tantalized,0.32,13.936770954578739,10,False,False
the,0.26,14.196770954578739,3,False,False
senses,0.2999999999999999,14.49677095457874,6,False,False
and,0.31,14.80677095457874,3,False,False
warmed,0.27,15.07677095457874,6,False,False
the,0.27,15.346770954578739,3,False,False
soul.,0.2099999999999999,15.556770954578738,5,True,False
The,0.19,15.746770954578738,3,False,False
air,0.43,16.17677095457874,3,False,False
was,0.26,16.43677095457874,3,False,False
filled,0.1799999999999999,16.61677095457874,6,False,False
with,0.14,16.75677095457874,4,False,False
the,0.37,17.126770954578742,3,False,False
enticing,0.2499999999999999,17.376770954578742,8,False,False
aromas,0.52,17.89677095457874,6,False,False
of,0.31,18.20677095457874,2,False,False
sizzling,0.3499999999999999,18.55677095457874,8,False,False
"onions,",0.2999999999999999,18.856770954578742,7,False,True
freshly,0.28,19.136770954578743,7,False,False
baked,0.28,19.416770954578745,5,False,False
"bread,",0.45,19.866770954578744,6,False,True
and,0.42,20.286770954578746,3,False,False
buttered,0.26,20.546770954578747,8,False,False
slices,0.27,20.816770954578747,6,False,False
of,0.15,20.966770954578745,2,False,False
golden,0.25,21.216770954578745,6,False,False
