word,timing,time_running,word_len,ends_in_period,ends_in_comma
Once,0.29,0.29,4,False,False
upon,0.13,0.42,4,False,False
a,0.22379630348551394,0.6437963034855139,1,False,False
"time,",0.33,0.9737963034855139,5,False,True
in,0.2,1.173796303485514,2,False,False
a,0.22,1.3937963034855139,1,False,False
world,0.23,1.6237963034855138,5,False,False
where,0.17,1.7937963034855138,5,False,False
locations,0.3399999999999999,2.133796303485514,9,False,False
held,0.2299999999999999,2.363796303485514,4,False,False
the,0.2,2.563796303485514,3,False,False
key,0.17,2.733796303485514,3,False,False
to,0.27,3.003796303485514,2,False,False
one's,0.35,3.353796303485514,5,False,False
"destiny,",0.4299252806508723,3.7837215841363863,8,False,True
there,0.1699999999999999,3.953721584136386,5,False,False
was,0.14,4.093721584136386,3,False,False
a,0.2199999999999999,4.313721584136386,1,False,False
"small,",0.6599999999999999,4.973721584136386,6,False,True
picturesque,0.45,5.423721584136386,11,False,False
village,0.33,5.753721584136386,7,False,False
nestled,0.29,6.043721584136386,7,False,False
between,0.17,6.213721584136386,7,False,False
the,0.37,6.583721584136386,3,False,False
mountains,0.3399999999999999,6.923721584136386,9,False,False
and,0.12,7.043721584136386,3,False,False
the,0.24,7.283721584136386,3,False,False
sea.,0.5899999999999999,7.873721584136386,4,True,False
The,0.5499999999999998,8.423721584136386,3,False,False
villagers,0.29,8.713721584136385,9,False,False
lived,0.3700000000000001,9.083721584136384,5,False,False
in,0.28,9.363721584136384,2,False,False
harmony,0.27,9.633721584136383,7,False,False
with,0.22,9.853721584136384,4,False,False
their,0.39,10.243721584136384,5,False,False
"surroundings,",0.4399999999999999,10.683721584136384,13,False,True
their,0.22,10.903721584136385,5,False,False
homes,0.32,11.223721584136385,5,False,False
facing,0.25,11.473721584136385,6,False,False
the,0.24,11.713721584136385,3,False,False
beach,0.1699999999999999,11.883721584136385,5,False,False
and,0.17,12.053721584136385,3,False,False
their,0.45,12.503721584136384,5,False,False
gardens,0.49,12.993721584136384,7,False,False
stretching,0.3499999999999999,13.343721584136384,10,False,False
towards,0.24,13.583721584136384,7,False,False
the,0.22,13.803721584136385,3,False,False
river.,0.461310770688487,14.265032354824871,6,True,False
Each,0.31,14.575032354824872,4,False,False
"morning,",0.4299252806508723,15.004957635475744,8,False,True
they,0.13,15.134957635475745,4,False,False
would,0.24,15.374957635475745,5,False,False
gather,0.2799999999999999,15.654957635475744,6,False,False
against,0.31,15.964957635475745,7,False,False
the,0.27,16.234957635475745,3,False,False
railing,0.2800000000000001,16.514957635475746,7,False,False
of,0.2,16.714957635475745,2,False,False
the,0.41,17.124957635475745,3,False,False
old,0.27,17.394957635475745,3,False,False
wooden,0.4,17.794957635475743,6,False,False
bridge,0.18,17.974957635475743,6,False,False
to,0.26,18.234957635475745,2,False,False
watch,0.27965764432480544,18.51461527980055,5,False,False
the,0.17,18.684615279800553,3,False,False
sun,0.5599999999999999,19.244615279800552,3,False,False
rise,0.3,19.544615279800553,4,False,False
over,0.15,19.69461527980055,4,False,False
the,0.22,19.91461527980055,3,False,False
"horizon,",0.5,20.41461527980055,8,False,True
casting,0.24,20.65461527980055,7,False,False
its,0.29,20.944615279800548,3,False,False
golden,0.36,21.304615279800547,6,False,False
glow,0.25,21.554615279800547,4,False,False
on,0.1099999999999999,21.664615279800547,2,False,False
the,0.22,21.884615279800546,3,False,False
water,0.2,22.084615279800545,5,False,False
below.,0.28,22.364615279800546,6,True,False
As,0.18,22.544615279800546,2,False,False
night,0.24,22.784615279800544,5,False,False
"fell,",0.19,22.974615279800545,5,False,True
they,0.15,23.124615279800544,4,False,False
would,0.17,23.294615279800546,5,False,False
meander,0.17,23.464615279800547,7,False,False
towards,0.2199999999999999,23.684615279800546,7,False,False
the,0.26,23.944615279800548,3,False,False
doors,0.2199999999999999,24.164615279800547,5,False,False
of,0.17,24.33461527980055,2,False,False
their,0.24,24.574615279800547,5,False,False
cozy,0.17,24.74461527980055,4,False,False
"abodes,",0.33,25.074615279800547,7,False,True
knowing,0.1599999999999999,25.234615279800547,7,False,False
that,0.3,25.534615279800548,4,False,False
their,0.35,25.88461527980055,5,False,False
connection,0.13,26.014615279800548,10,False,False
to,0.31,26.324615279800547,2,False,False
these,0.29,26.614615279800546,5,False,False
magical,0.4399999999999999,27.054615279800547,7,False,False
locations,0.28,27.33461527980055,9,False,False
was,0.16,27.49461527980055,3,False,False
what,0.2299999999999999,27.72461527980055,4,False,False
truly,0.26,27.98461527980055,5,False,False
made,0.1999999999999999,28.18461527980055,4,False,False
their,0.26,28.44461527980055,5,False,False
lives,0.35,28.794615279800553,5,False,False
extraordinary.,0.57303345236707,29.367648732167623,14,True,False
One,0.28,29.647648732167625,3,False,False
fateful,0.29,29.937648732167624,7,False,False
"day,",0.27,30.207648732167623,4,False,True
as,0.15,30.357648732167622,2,False,False
the,0.27,30.62764873216762,3,False,False
villagers,0.26,30.887648732167623,9,False,False
gathered,0.26,31.147648732167625,8,False,False
by,0.11,31.257648732167624,2,False,False
the,0.41,31.667648732167624,3,False,False
bridge,0.15,31.817648732167623,6,False,False
to,0.32,32.13764873216762,2,False,False
witness,0.25,32.38764873216762,7,False,False
the,0.2,32.58764873216762,3,False,False
"sunrise,",0.31,32.897648732167625,8,False,True
a,0.36,33.257648732167624,1,False,False
sudden,0.44,33.69764873216762,6,False,False
and,0.3899999999999999,34.08764873216762,3,False,False
violent,0.3999999999999999,34.48764873216762,7,False,False
storm,0.41,34.89764873216762,5,False,False
rolled,0.15,35.047648732167616,6,False,False
in,0.24,35.28764873216762,2,False,False
from,0.2199999999999999,35.50764873216762,4,False,False
the,0.23,35.737648732167614,3,False,False
sea.,0.43338010026884133,36.171028832436456,4,True,False
The,0.5999999999999999,36.77102883243646,3,False,False
fierce,0.26,37.031028832436455,6,False,False
winds,0.26,37.29102883243645,5,False,False
and,0.32,37.61102883243645,3,False,False
