word,timing,time_running,word_len,ends_in_period,ends_in_comma
Once,0.2399999999999999,0.2399999999999999,4,False,False
upon,0.26,0.4999999999999999,4,False,False
a,0.29,0.7899999999999998,1,False,False
"time,",0.18,0.9699999999999998,5,False,True
in,0.43,1.3999999999999997,2,False,False
a,0.18,1.5799999999999996,1,False,False
quaint,0.29,1.8699999999999997,6,False,False
little,0.25,2.1199999999999997,6,False,False
village,0.3699999999999999,2.4899999999999993,7,False,False
nestled,0.3099999999999999,2.7999999999999994,7,False,False
between,0.22,3.0199999999999996,7,False,False
the,0.2764517596392764,3.296451759639276,3,False,False
rolling,0.3299999999999999,3.6264517596392762,7,False,False
hills,0.23,3.8564517596392762,5,False,False
and,0.29,4.146451759639276,3,False,False
dense,0.34,4.486451759639276,5,False,False
"forests,",0.27618055743665887,4.762632317075934,8,False,True
there,0.17,4.932632317075934,5,False,False
lived,0.16,5.0926323170759344,5,False,False
a,0.29,5.3826323170759345,1,False,False
talented,0.52,5.902632317075934,8,False,False
seamstress,0.4600000000000001,6.362632317075934,10,False,False
named,0.18,6.542632317075934,5,False,False
Elara.,0.0699999999999999,6.612632317075934,6,True,False
Her,0.2299999999999999,6.842632317075934,3,False,False
nimble,0.33,7.172632317075934,6,False,False
fingers,0.2299999999999999,7.402632317075933,7,False,False
could,0.2099999999999999,7.612632317075933,5,False,False
weave,0.21,7.822632317075933,5,False,False
the,0.2764517596392764,8.09908407671521,3,False,False
most,0.34,8.43908407671521,4,False,False
intricate,0.51,8.94908407671521,9,False,False
patterns,0.25,9.19908407671521,8,False,False
and,0.21,9.40908407671521,3,False,False
breathtaking,0.23,9.63908407671521,12,False,False
designs,0.3599999999999999,9.99908407671521,7,False,False
into,0.1699999999999999,10.16908407671521,4,False,False
the,0.06,10.22908407671521,3,False,False
"fabric,",0.2740401509894561,10.503124227704667,7,False,True
creating,0.32,10.823124227704668,8,False,False
clothing,0.2199999999999999,11.043124227704668,8,False,False
that,0.2199999999999999,11.263124227704669,4,False,False
was,0.2199999999999999,11.48312422770467,3,False,False
both,0.4,11.88312422770467,4,False,False
functional,0.3,12.18312422770467,10,False,False
and,0.3299999999999999,12.51312422770467,3,False,False
beautiful.,0.27819913083667713,12.791323358541348,10,True,False
One,0.23,13.021323358541348,3,False,False
fateful,0.2699999999999999,13.291323358541348,7,False,False
"day,",0.24,13.531323358541348,4,False,True
as,0.36,13.891323358541348,2,False,False
Elara,0.16,14.051323358541348,5,False,False
was,0.24,14.291323358541348,3,False,False
walking,0.23,14.521323358541348,7,False,False
to,0.13,14.65132335854135,2,False,False
the,0.2764517596392764,14.927775118180625,3,False,False
market,0.25,15.177775118180625,6,False,False
to,0.29,15.467775118180624,2,False,False
showcase,0.36,15.827775118180623,8,False,False
her,0.26,16.087775118180623,3,False,False
latest,0.43,16.517775118180623,6,False,False
"creations,",0.36,16.877775118180622,10,False,True
she,0.4199999999999999,17.29777511818062,3,False,False
overheard,0.3699999999999999,17.66777511818062,9,False,False
a,0.2299999999999999,17.897775118180622,1,False,False
heated,0.41,18.307775118180622,6,False,False
conversation,0.4800000000000001,18.787775118180623,12,False,False
between,0.2499999999999999,19.037775118180623,7,False,False
two,0.37,19.407775118180624,3,False,False
strangers.,0.27819913083667713,19.6859742490173,10,True,False
Their,0.3,19.9859742490173,5,False,False
voices,0.2199999999999999,20.2059742490173,6,False,False
were,0.34,20.5459742490173,4,False,False
laced,0.1999999999999999,20.745974249017298,5,False,False
with,0.32,21.065974249017298,4,False,False
anger,0.26,21.3259742490173,5,False,False
and,0.39,21.7159742490173,3,False,False
"frustration,",0.28474218322546996,22.00071643224277,12,False,True
hinting,0.14,22.14071643224277,7,False,False
at,0.18,22.32071643224277,2,False,False
an,0.36,22.680716432242768,2,False,False
underlying,0.39,23.07071643224277,10,False,False
current,0.28501338542808746,23.355729817670856,7,False,False
of,0.48,23.835729817670856,2,False,False
violence,0.34,24.175729817670856,8,False,False
and,0.3399999999999999,24.515729817670856,3,False,False
injury.,0.2717779114950688,24.787507729165924,7,True,False
Intrigued,0.23,25.017507729165924,9,False,False
by,0.1199999999999999,25.137507729165925,2,False,False
the,0.4900000000000001,25.627507729165924,3,False,False
"exchange,",0.2783209638838616,25.905828693049784,9,False,True
Elara,0.15,26.055828693049783,5,False,False
cautiously,0.4600000000000001,26.515828693049784,10,False,False
approached,0.39,26.905828693049784,10,False,False
"them,",0.26975933809505054,27.175588031144834,5,False,True
unaware,0.3099999999999999,27.485588031144832,7,False,False
that,0.19,27.675588031144834,4,False,False
this,0.19,27.865588031144835,4,False,False
encounter,0.33,28.195588031144833,9,False,False
would,0.2,28.395588031144833,5,False,False
set,0.1699999999999999,28.56558803114483,3,False,False
her,0.13,28.69558803114483,3,False,False
on,0.1,28.79558803114483,2,False,False
a,0.25,29.04558803114483,1,False,False
path,0.1399999999999999,29.18558803114483,4,False,False
of,0.12,29.305588031144833,2,False,False
adventure,0.33,29.63558803114483,9,False,False
and,0.27,29.90558803114483,3,False,False
self-discovery,0.38,30.28558803114483,14,False,False
that,0.27859216608647913,30.56418019723131,4,False,False
would,0.28073257253368195,30.844912769764992,5,False,False
forever,0.29,31.13491276976499,7,False,False
change,0.19,31.324912769764993,6,False,False
her,0.0899999999999999,31.414912769764992,3,False,False
life,0.1599999999999999,31.574912769764993,4,False,False
and,0.2099999999999999,31.784912769764993,3,False,False
the,0.23,32.01491276976499,3,False,False
lives,0.21,32.22491276976499,5,False,False
of,0.21,32.43491276976499,2,False,False
those,0.29,32.72491276976499,5,False,False
around,0.32,33.04491276976499,6,False,False
her.,0.75,33.79491276976499,4,True,False
As,0.5599999999999999,34.354912769764994,2,False,False
Elara,0.13,34.484912769764996,5,False,False
drew,0.31,34.794912769765,4,False,False
closer,0.47,35.264912769765,6,False,False
to,0.14,35.404912769765,2,False,False
the,0.75,36.154912769765,3,False,False
"strangers,",0.2804613703310644,36.435374140096066,10,False,True
she,0.06,36.49537414009607,3,False,False
noticed,0.32,36.81537414009607,7,False,False
their,0.29,37.10537414009607,5,False,False
animated,0.44,37.545374140096065,8,False,False
gestures,0.2900000000000001,37.835374140096064,8,False,False
and,0.17,38.005374140096066,3,False,False
the,0.3400000000000001,38.34537414009607,3,False,False
fluidity,0.4200000000000001,38.76537414009607,8,False,False
of,0.18,38.94537414009607,2,False,False
their,0.6200000000000001,39.56537414009607,5,False,False
movements.,0.27819913083667713,39.843573270932744,10,True,False
The,0.2764517596392764,40.12002503057202,3,False,False
taller,0.1899999999999999,40.31002503057202,6,False,False
of,0.1299999999999999,40.44002503057202,2,False,False
the,0.75,41.19002503057202,3,False,False
"two,",0.2676189316478478,41.45764396221987,4,False,True
a,0.17,41.62764396221987,1,False,False
man,0.3399999999999999,41.967643962219874,3,False,False
with,0.13,42.09764396221988,4,False,False
a,0.35,42.44764396221988,1,False,False
chiseled,0.28,42.72764396221988,8,False,False
jaw,0.2764517596392764,43.00409572185916,3,False,False
and,0.25,43.25409572185916,3,False,False
piercing,0.4,43.65409572185916,8,False,False
"eyes,",0.17,43.82409572185916,5,False,True
gestured,0.53,44.35409572185916,8,False,False
emphatically,0.3399999999999999,44.69409572185916,12,False,False
with,0.19,44.88409572185916,4,False,False
his,0.2299999999999999,45.11409572185916,3,False,False
hands,0.2799999999999999,45.39409572185916,5,False,False
as,0.17,45.56409572185916,2,False,False
he,0.26,45.82409572185916,2,False,False
spoke.,0.26963750504786604,46.09373322690703,6,True,False
At,0.19,46.283733226907025,2,False,False
one,0.28,46.563733226907026,3,False,False
"point,",0.26,46.823733226907024,6,False,True
his,0.24,47.063733226907026,3,False,False
finger,0.28,47.34373322690703,6,False,False
nearly,0.3999999999999999,47.743733226907025,6,False,False
grazed,0.2828729789808847,48.02660620588791,6,False,False
the,0.2,48.22660620588791,3,False,False
other,0.3,48.52660620588791,5,False,False
man's,0.36,48.88660620588791,5,False,False
"chest,",0.5,49.38660620588791,6,False,True
emphasizing,0.43,49.81660620588791,11,False,False
the,0.29,50.10660620588791,3,False,False
intensity,0.39,50.49660620588791,9,False,False
of,0.18,50.67660620588791,2,False,False
their,0.3399999999999999,51.01660620588791,5,False,False
discussion.,0.08,51.09660620588791,11,True,False
"Meanwhile,",0.2804613703310644,51.37706757621898,10,False,True
the,0.24,51.61706757621898,3,False,False
shorter,0.27,51.88706757621898,7,False,False
man,0.36,52.24706757621898,3,False,False
paced,0.35,52.59706757621898,5,False,False
back,0.1699999999999999,52.767067576218984,4,False,False
and,0.2299999999999999,52.99706757621898,3,False,False
"forth,",0.22,53.21706757621898,6,False,True
his,0.21,53.42706757621898,3,False,False
head,0.26,53.68706757621898,4,False,False
brushing,0.27,53.95706757621898,8,False,False
against,0.26,54.21706757621898,7,False,False
the,0.15,54.36706757621898,3,False,False
low-hanging,0.16,54.527067576218975,11,False,False
branches,0.2500000000000001,54.777067576218975,8,False,False
of,0.1,54.87706757621898,2,False,False
a,0.15,55.027067576218975,1,False,False
nearby,0.3299999999999999,55.357067576218974,6,False,False
tree.,0.3200000000000003,55.677067576218974,5,True,False
Elara,0.28073257253368195,55.95780014875265,5,False,False
couldn't,0.23,56.18780014875265,8,False,False
help,0.23,56.41780014875265,4,False,False
but,0.17,56.58780014875265,3,False,False
be,0.48,57.067800148752646,2,False,False
captivated,0.35,57.41780014875265,10,False,False
by,0.14,57.55780014875265,2,False,False
their,0.2099999999999999,57.76780014875265,5,False,False
"physicality,",0.6499999999999999,58.41780014875265,12,False,True
and,0.16,58.577800148752644,3,False,False
she,0.21,58.787800148752645,3,False,False
found,0.3,59.08780014875264,5,False,False
herself,0.33,59.41780014875264,7,False,False
mirroring,0.28929419832249303,59.707094347075135,9,False,False
their,0.24,59.94709434707514,5,False,False
movements,0.2,60.14709434707514,9,False,False
as,0.17,60.31709434707514,2,False,False
she,0.2799999999999999,60.59709434707514,3,False,False
listened,0.1499999999999999,60.74709434707514,8,False,False
in.,0.17,60.91709434707514,3,True,False
She,0.2599999999999999,61.17709434707514,3,False,False
shifted,0.26,61.43709434707514,7,False,False
her,0.16,61.597094347075135,3,False,False
weight,0.21,61.807094347075136,6,False,False
from,0.17,61.97709434707514,4,False,False
one,0.18,62.15709434707514,3,False,False
foot,0.27859216608647913,62.43568651316161,4,False,False
to,0.1499999999999999,62.58568651316161,2,False,False
the,0.47,63.05568651316161,3,False,False
other,0.3699999999999999,63.42568651316161,5,False,False
and,0.17,63.59568651316161,3,False,False
absentmindedly,0.4099999999999999,64.0056865131616,14,False,False
lifted,0.21,64.2156865131616,6,False,False
her,0.2299999999999999,64.4456865131616,3,False,False
dress,0.32,64.7656865131616,5,False,False
