word,timing,time_running
Once,0.22999999999999995,0.22999999999999995
upon,0.18,0.4099999999999999
a,0.25,0.6599999999999999
"time,",0.21999999999999997,0.8799999999999999
in,0.1,0.9799999999999999
a,0.21000000000000002,1.19
bustling,0.33999999999999997,1.5299999999999998
city,0.24,1.7699999999999998
that,0.22999999999999998,1.9999999999999998
never,0.28,2.28
"slept,",,2.28
there,0.26,2.54
existed,0.30000000000000004,2.84
a,0.18999999999999997,3.03
unique,0.4100000000000001,3.44
group,0.22,3.66
of,0.36,4.0200000000000005
individuals,0.07,4.090000000000001
who,0.19,4.280000000000001
called,0.11,4.3900000000000015
themselves,0.3400000000000001,4.730000000000001
the,0.14,4.870000000000001
"""Eternal",0.08,4.950000000000001
"Seekers"".",,4.950000000000001
This,0.32999999999999996,5.280000000000001
eclectic,0.21000000000000002,5.490000000000001
mix,0.1,5.590000000000001
of,0.33000000000000007,5.920000000000001
"people,",,5.920000000000001
ranging,0.26,6.180000000000001
from,0.18000000000000002,6.36
the,0.08,6.44
young,0.21000000000000002,6.65
and,0.4599999999999999,7.11
agile,0.02,7.13
to,0.32000000000000006,7.45
the,0.15999999999999998,7.61
wise,0.43000000000000005,8.040000000000001
and,0.26,8.3
"aged,",0.3,8.600000000000001
were,0.19999999999999998,8.8
bound,0.23000000000000004,9.030000000000001
together,0.25,9.280000000000001
by,0.16999999999999998,9.450000000000001
their,0.39,9.840000000000002
insatiable,0.62,10.46
curiosity,0.45,10.91
and,0.17000000000000004,11.08
their,0.44,11.52
unwavering,0.5200000000000001,12.04
commitment,0.27,12.309999999999999
to,0.29,12.599999999999998
resolving,0.52,13.119999999999997
conflicts,0.42000000000000004,13.539999999999997
that,0.32,13.859999999999998
plagued,0.24999999999999994,14.109999999999998
their,0.25,14.359999999999998
city.,0.43999999999999995,14.799999999999997
They,0.14999999999999997,14.949999999999998
would,0.28,15.229999999999997
gather,0.32000000000000006,15.549999999999997
every,0.25999999999999995,15.809999999999997
week,0.18999999999999997,15.999999999999996
at,0.15,16.149999999999995
their,0.25,16.399999999999995
secret,0.52,16.919999999999995
"headquarters,",0.30999999999999994,17.229999999999993
a,,17.229999999999993
cozy,0.15999999999999998,17.389999999999993
little,0.13,17.519999999999992
café,0.37999999999999995,17.89999999999999
tucked,0.26,18.159999999999993
away,0.15,18.30999999999999
in,0.12,18.429999999999993
an,0.5399999999999999,18.96999999999999
inconspicuous,0.31000000000000005,19.27999999999999
"alley,",0.3600000000000001,19.63999999999999
where,0.15,19.78999999999999
they,0.13999999999999999,19.92999999999999
would,0.2,20.12999999999999
indulge,0.29,20.419999999999987
in,0.26,20.67999999999999
delightful,0.42000000000000004,21.09999999999999
food,,21.09999999999999
and,0.38,21.47999999999999
drinks,0.18000000000000005,21.65999999999999
while,0.28,21.93999999999999
debating,0.2900000000000001,22.22999999999999
and,0.32000000000000006,22.54999999999999
questioning,0.26,22.80999999999999
the,0.2,23.00999999999999
world,0.31000000000000005,23.31999999999999
around,,23.31999999999999
them.,0.36,23.67999999999999
The,0.22000000000000003,23.899999999999988
group,,23.899999999999988
consisted,0.30999999999999994,24.209999999999987
of,0.35,24.559999999999988
exactly,,24.559999999999988
42,0.3400000000000001,24.899999999999988
"members,",0.35,25.24999999999999
each,0.36,25.60999999999999
bringing,0.23000000000000004,25.83999999999999
their,0.19,26.02999999999999
own,0.32,26.34999999999999
distinct,0.5,26.84999999999999
perspective,0.28,27.129999999999992
to,0.13,27.25999999999999
the,0.28,27.539999999999992
"table,",,27.539999999999992
as,0.16000000000000003,27.699999999999992
they,,27.699999999999992
embarked,0.28,27.979999999999993
on,0.26,28.239999999999995
thrilling,0.3500000000000001,28.589999999999996
adventures,0.33,28.919999999999995
filled,0.24,29.159999999999993
with,0.3,29.459999999999994
"action,",0.38,29.839999999999993
"movement,",0.33000000000000007,30.169999999999995
and,0.12000000000000001,30.289999999999996
the,,30.289999999999996
pursuit,0.24,30.529999999999994
of,,30.529999999999994
harmony.,0.30000000000000004,30.829999999999995
The,0.26,31.089999999999996
Eternal,0.29,31.379999999999995
Seekers,0.29999999999999993,31.679999999999996
had,,31.679999999999996
a,,31.679999999999996
tradition,0.24,31.919999999999995
of,0.36,32.279999999999994
celebrating,0.39,32.669999999999995
their,0.25,32.919999999999995
victories,0.18,33.099999999999994
and,0.31000000000000005,33.41
newfound,0.37999999999999995,33.79
knowledge,0.25,34.04
with,0.12000000000000001,34.16
a,0.23000000000000004,34.38999999999999
grand,,34.38999999999999
"feast,",0.3400000000000001,34.73
where,0.14,34.87
they,0.37,35.239999999999995
would,0.08000000000000002,35.31999999999999
share,0.27,35.589999999999996
their,0.8099999999999998,36.4
favorite,0.25000000000000006,36.65
dishes,0.22999999999999998,36.879999999999995
and,0.22999999999999998,37.10999999999999
drinks,0.5,37.60999999999999
from,0.25000000000000006,37.85999999999999
around,0.06,37.919999999999995
the,,37.919999999999995
world.,0.18,38.099999999999994
The,0.24,38.339999999999996
members,0.32000000000000006,38.66
took,0.36999999999999994,39.029999999999994
great,0.20000000000000004,39.23
pride,,39.23
in,0.41000000000000003,39.63999999999999
introducing,0.12,39.75999999999999
their,0.21,39.96999999999999
comrades,0.15000000000000002,40.11999999999999
to,0.30000000000000004,40.41999999999999
the,0.3400000000000001,40.75999999999999
diverse,0.19999999999999998,40.959999999999994
flavors,0.42000000000000004,41.379999999999995
that,0.21000000000000002,41.589999999999996
the,0.26999999999999996,41.86
city,0.18,42.04
had,,42.04
to,0.18,42.22
offer.,0.19,42.41
On,0.18,42.589999999999996
one,,42.589999999999996
such,0.29000000000000004,42.879999999999995
"occasion,",0.18,43.059999999999995
they,0.41000000000000003,43.46999999999999
had,0.27,43.739999999999995
just,0.56,44.3
cracked,0.7199999999999999,45.019999999999996
a,0.57,45.589999999999996
particularly,0.14,45.73
challenging,0.21000000000000002,45.94
case,0.24999999999999997,46.19
and,0.32,46.51
decided,0.38,46.89
to,0.31999999999999995,47.21
commemorate,0.15000000000000002,47.36
the,0.28,47.64
event,0.26,47.9
by,,47.9
ordering,0.21000000000000002,48.11
cases,0.38,48.49
of,0.32,48.81
beer,0.14,48.95
from,0.21,49.160000000000004
a,0.42999999999999994,49.59
local,0.31,49.900000000000006
"brewery,",0.23,50.13
known,,50.13
for,0.25,50.38
its,,50.38
unique,0.13999999999999996,50.52
blend,,50.52
of,0.30000000000000004,50.82
hops,0.29000000000000004,51.11
and,,51.11
barley.,,51.11
The,0.28,51.39
air,0.11999999999999997,51.51
was,0.17,51.68
filled,0.27,51.95
with,0.26,52.21
laughter,0.24999999999999997,52.46
and,0.30000000000000004,52.76
camaraderie,0.25,53.01
as,0.24,53.25
they,0.19999999999999996,53.45
clinked,0.3,53.75
their,0.8499999999999999,54.6
glasses,0.45999999999999996,55.06
"together,",0.21999999999999997,55.28
savoring,0.23999999999999996,55.52
the,0.5,56.02
"crisp,",0.46,56.480000000000004
refreshing,0.12,56.6
taste,0.16999999999999998,56.77
of,0.18999999999999997,56.96
their,0.32999999999999996,57.29
well-deserved,0.11000000000000001,57.4
reward.,0.41000000000000003,57.809999999999995
Alongside,,57.809999999999995
the,0.09,57.9
"beer,",0.28,58.18
they,0.18999999999999997,58.37
indulged,0.12,58.489999999999995
in,0.36,58.849999999999994
a,0.5299999999999999,59.379999999999995
sumptuous,0.16999999999999998,59.55
spread,0.27999999999999997,59.83
of,0.5,60.33
Chinese,0.2899999999999999,60.62
"cuisine,",0.24000000000000005,60.86
with,0.4,61.26
plates,0.27,61.53
piled,0.19999999999999996,61.730000000000004
high,0.33999999999999997,62.07000000000001
with,0.5200000000000001,62.59000000000001
succulent,0.64,63.23000000000001
"dumplings,",0.46,63.69000000000001
