word,timing,time_running
Once,0.37000000000000005,0.37000000000000005
upon,0.13999999999999999,0.51
a,0.26,0.77
time,0.22,0.99
in,0.11000000000000003,1.1
the,0.22000000000000003,1.32
quaint,,1.32
little,0.36000000000000004,1.6800000000000002
town,0.15,1.83
of,0.30000000000000004,2.13
Whispering,0.5,2.63
"Willows,",0.5,3.13
communication,0.4700000000000001,3.6
was,0.13,3.73
the,0.42,4.15
lifeblood,0.33999999999999997,4.49
that,0.3,4.79
connected,0.30000000000000004,5.09
its,0.31999999999999995,5.41
inhabitants.,,5.41
From,0.17,5.58
the,0.23000000000000004,5.8100000000000005
early,0.3,6.11
morning,0.29000000000000004,6.4
Skype,0.31000000000000005,6.710000000000001
sessions,0.29,7.000000000000001
with,0.13999999999999999,7.140000000000001
the,0.36,7.500000000000001
mysterious,0.6599999999999999,8.16
unboyfriend,0.42000000000000004,8.58
to,0.14,8.72
the,0.17,8.89
late-night,0.21999999999999997,9.110000000000001
conversations,0.35,9.46
where,0.14000000000000004,9.600000000000001
sisters,0.29999999999999993,9.900000000000002
would,0.20999999999999996,10.110000000000003
tell,0.15999999999999998,10.270000000000003
each,0.33999999999999997,10.610000000000003
other,0.16999999999999996,10.780000000000003
their,0.26,11.040000000000003
deepest,0.41000000000000003,11.450000000000003
"secrets,",,11.450000000000003
the,0.24,11.690000000000003
people,0.22000000000000003,11.910000000000004
of,0.2,12.110000000000003
this,0.24999999999999997,12.360000000000003
town,0.45,12.810000000000002
thrived,0.2800000000000001,13.090000000000002
on,0.23000000000000004,13.320000000000002
sharing,0.24,13.560000000000002
their,0.26,13.820000000000002
lives,0.22,14.040000000000003
with,0.16000000000000003,14.200000000000003
one,2.7899999999999996,16.990000000000002
another.,,16.990000000000002
In,0.23,17.220000000000002
"fact,",0.24,17.46
it,0.15999999999999998,17.62
was,0.18000000000000005,17.8
not,0.36,18.16
uncommon,0.32,18.48
for,0.0,18.48
news,0.21999999999999997,18.7
to,0.25,18.95
travel,0.20999999999999996,19.16
so,0.23,19.39
fast,0.18999999999999995,19.580000000000002
that,0.28,19.860000000000003
someone,0.2899999999999999,20.150000000000002
had,0.14,20.290000000000003
already,0.31999999999999995,20.610000000000003
called,0.19,20.800000000000004
"ahead,",,20.800000000000004
ensuring,0.2300000000000001,21.030000000000005
that,0.19,21.220000000000006
no,0.29000000000000004,21.510000000000005
event,0.4599999999999999,21.970000000000006
or,0.28,22.250000000000007
happening,0.32000000000000006,22.570000000000007
ever,0.24,22.810000000000006
remained,0.21,23.020000000000007
a,0.17,23.19000000000001
secret,0.25,23.44000000000001
for,0.24000000000000005,23.680000000000007
long.,,23.680000000000007
This,0.35,24.03000000000001
intricate,,24.03000000000001
web,,24.03000000000001
of,0.41000000000000003,24.44000000000001
communication,0.4900000000000001,24.930000000000007
was,0.18,25.110000000000007
about,0.24000000000000002,25.350000000000005
to,0.13,25.480000000000004
be,0.26,25.740000000000006
tested,0.28,26.020000000000007
