word,timing,time_running,word_len,ends_in_period,ends_in_comma
Once,0.1499999999999999,0.1499999999999999,4,False,False
upon,0.2,0.3499999999999999,4,False,False
a,0.29,0.6399999999999999,1,False,False
time,0.24,0.8799999999999999,4,False,False
in,0.11,0.9899999999999999,2,False,False
the,0.21,1.2,3,False,False
quaint,0.3899999999999999,1.5899999999999999,6,False,False
little,0.3,1.89,6,False,False
town,0.28056334202911526,2.1705633420291153,4,False,False
of,0.3499999999999999,2.5205633420291154,2,False,False
"Seamsville,",0.42,2.9405633420291153,11,False,True
there,0.6699999999999999,3.610563342029115,5,False,False
lived,0.1699999999999999,3.780563342029115,5,False,False
a,0.19,3.970563342029115,1,False,False
diverse,0.19,4.160563342029115,7,False,False
group,0.22,4.380563342029115,5,False,False
of,0.27840383557926673,4.658967177608382,2,False,False
individuals,0.4,5.058967177608382,11,False,False
who,0.18,5.238967177608382,3,False,False
were,0.15,5.388967177608382,4,False,False
all,0.18,5.568967177608382,3,False,False
connected,0.2900000000000001,5.858967177608382,9,False,False
by,0.15,6.008967177608382,2,False,False
their,0.1599999999999999,6.1689671776083825,5,False,False
love,0.35,6.518967177608382,4,False,False
for,0.279483588804191,6.798450766412573,3,False,False
clothing.,0.17,6.968450766412573,9,True,False
On,0.19,7.158450766412574,2,False,False
any,0.2,7.358450766412574,3,False,False
given,0.15,7.508450766412574,5,False,False
"day,",0.14,7.648450766412574,4,False,True
you,0.1499999999999999,7.798450766412573,3,False,False
could,0.27,8.068450766412573,5,False,False
find,0.22,8.288450766412574,4,False,False
Mrs.,0.28919774418110233,8.577648510593676,4,True,False
"Tailor,",0.2900000000000001,8.867648510593677,7,False,True
the,0.2,9.067648510593676,3,False,False
town's,0.41,9.477648510593676,6,False,False
"seamstress,",0.11,9.587648510593676,11,False,True
diligently,0.33,9.917648510593676,10,False,False
working,0.21,10.127648510593676,7,False,False
in,0.15,10.277648510593677,2,False,False
her,0.2099999999999999,10.487648510593676,3,False,False
shop,0.19,10.677648510593675,4,False,False
with,0.11,10.787648510593675,4,False,False
a,0.25,11.037648510593675,1,False,False
crisp,0.32,11.357648510593675,5,False,False
apron,0.1999999999999999,11.557648510593674,5,False,False
and,0.18,11.737648510593674,3,False,False
a,0.11,11.847648510593674,1,False,False
